id,term,categories,notable_names,parent_id,sibling_id_1,sibling_id_2,sibling_id_3,appeared_year,peak_hypecycle_year,vanished_year,approved,source_title_1,source_url_1,source_doi_1,source_title_2,source_url_2,source_doi_2
0EC28D66,Personal brand,Organization,,,,,,,,,,,,,,,
CDACB379,Personal/First-Person/Confessions,,,,,,,,,,,,,,,,
7A63C59B,Photo,Visual Narration,,,,,,,,,,,,,,,
98525548,Podcast,"Technology, Social Media",,,,,,,,,,,,,,,
BD71EB2C,Political,Subject,,,,,,,,,,,,,,,
C54A9CFB,Pop,Subject,"Jörg Fauser, Diedrich Diedrichsen",,,,,1960,,,,,,,,,
57BCC3B1,Positive,"Goal/Motivation, Purpose of Reporting",,,,,,,,,,,,,,,
2FB1CD56,Post,Organization,,,,,,,,,,,,,,,
16B0F07B,Post-Industrial,Organization,,,,,,,,,,,,,,,
637D99A6,Precision,Quantified,,,,,,,,,,,,,,,
2EFBCBA3,Print,Social Media,,,,,,,,,,,,,,,
3FEA6B08,Privately owned,Organisation,,,,,,,,,,,,,,,
63A5A6B2,Process,"Organization, Product-Orientation",,,,,,,,,,,,,,,
B71967EC,Product,Organization,,,,,,,,,,,,,,,
C5A2F5BA,Public interest,Purpose of Reporting,,,,,,,,,,,,,,,
33E3ED7D,Public service,"Organisation, Purpose of Reporting",,,,,,,,,,,,,,,
EDD243F9,Quality,Alleged Quality,,,,,,,,,,,,,,,
6E007042,Quantified,"Technology, Quantified",,,,,,,,,,,,,,,
5C65FF61,Radio,Social Media,,,,,,,,,,,,,,,
45DFF9A6,Real-time,Event-specific,,,,,,,,,,,,,,,
711671EC,Reciprocal,"Audience-Relationship, Dialogical Openness",,,,,,,,,,,,,,,
146AB19A,Robot,"Technology, Automated Production",,,,,,,,,,,,,,,
58697BD0,Rogue,,,,,,,,,,,,,,,,
D2352EA4,Rural,"Audience-Relationship, Subject, Organization",,,,,,,,,,,,,,,
4922E41A,Science,Subject,,,,,,,,,,,,,,,
AD2F7AA3,Selfie,"Technology, Medium, Visual Narration",,,,,,,,,,,,,,,
8AC950C4,Sensor,"Technology, Medium",,,,,,,,,,,,,,,
5E6A0507,Service,Purpose of Reporting,,,,,,,,,,,,,,,
58593E3C,Slow,"Goal/Motivation, Textual Narration, Length/Depth",,,,,,,,,,,,,,,
929BF391,Snapchat,"Technology, Social Media",,,,,,,,,,,,,,,
BA00854C,Social Media,"Technology, Social Media",,,,,,,,,,,,,,,
72D98495,Solutions,"Goal/Motivation, Purpose of Reporting",,,,,,,,,,,,,,,
AB524A59,Special interest,Subject,,,,,,,,,,,,,,,
36A07ADF,Speed-driven,"Goal/Motivation, Event-specific",,,,,,,,,,,,,,,
2A0C60ED,Sports,Subject,,,,,,,,,,,,,,,
404BC406,Structured,,,,,,,,,,,,,,,,
4984809B,Subjective,"Journalistic Approach, Political Stance",,,,,,,,,,,,,,,
A85ECDC2,Tabloid,Alleged Quality,,,,,,,,,,,,,,,
E164D942,Tech,Subject,,,,,,,,,,,,,,,
0E2C3DF0,Traditional,"Journalistic Approach, Political Stance",,,,,,,,,,,,,,,
78C4DCE5,Transmedia,"Technology, Media of Distribution",,,,,,,,,,,,,,,
BC630374,Travel,Subject,,,,,,,,,,,,,,,
522451CE,TV,Social Media,,,,,,,,,,,,,,,
9947F10A,Twitter,"Technology, Social Media",,,,,,,,,,,,,,,
F69C04E9,Underground,,Metzler 1977: 133 (zit. n. https://www.tandfonline.com/doi/abs/10.1080/10137548.1994.9688126),,,,,,,,,,,,,,
541157A8,Urban,Geographical Reference,,,,,,,,,,,,,,,
DFF8A93D,Venture-backed,Organization,,,,,,,,,,,,,,,
DE3D547E,Virtual-Reality,Technology,,,,,,,,,,,,,,,
4FA9BFDE,Visual,Visual Narration,,,,,,,,,,,,,,,
8812C50C,Watchdog,Purpose of Reporting,,,,,,,,,,,,,,,
74B797D0,Web,Social Media,,,,,,,,,,,,,,,
46081921,Weblog/Blog,Technology,,,,,,,,,,,,,,,
8A90BB62,Wiki,"Technology, Openness of Production",,,,,,,,,,,,,,,
